top - 11:32:40 up 11 min,  2 users,  load average: 1.77, 1.24, 0.75
Threads: 206 total,   5 running, 201 sleeping,   0 stopped,   0 zombie
%Cpu(s): 94.7 us,  5.3 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3854.5 total,   3425.9 free,    189.4 used,    239.2 buff/cache
MiB Swap:    100.0 total,    100.0 free,      0.0 used.   3496.7 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  910 pi        20   0    8516   1976   1084 R  99.9   0.1   0:13.65 bash
  912 pi        20   0    8516   1976   1084 R  99.9   0.1   0:13.61 bash
  911 pi        20   0    8516   1976   1084 R  94.1   0.1   0:13.51 bash
  909 pi        20   0    8516   2168   1276 R  88.2   0.1   0:13.61 bash
  914 pi        20   0   10316   3032   2536 R  11.8   0.1   0:00.03 top
   10 root      20   0       0      0      0 I   5.9   0.0   0:00.18 rcu_sched
  504 root      20   0  209320  54240  36984 S   5.9   1.4   0:08.93 Xorg
    1 root      20   0   33668   7968   6384 S   0.0   0.2   0:02.97 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftirqd/0
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
   13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   15 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/1
   16 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/1
   19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/2
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/2
   24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   25 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/3
   26 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftirqd/3
   27 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0-mm_percpu_wq
   29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   31 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker/0:1-mm_percpu_wq
   33 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/2:1-events
   34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
   35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   41 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
   43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:0-hci0
   44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
